packet_id,packet_type,source_gui,dest_gui,path,hop_count,started_at,delivered_at,delay
21932,SENSOR_DATA,32,1,32->22->11->1,3,2606.965071,2606.965310,0.000239
21934,SENSOR_DATA,11,1,11->1,1,2606.999538,2606.999617,0.000079
21943,SENSOR_DATA,2,1,2->1,1,2607.907825,2607.907891,0.000066
21942,SENSOR_DATA,12,1,12->11->1,2,2607.907773,2607.907899,0.000125
21951,SENSOR_DATA,3,1,3->2->1,2,2608.527649,2608.527781,0.000132
21952,SENSOR_DATA,22,1,22->11->1,2,2608.607701,2608.607863,0.000162
21968,SENSOR_DATA,13,1,13->23->22->11->1,4,2610.598362,2610.598671,0.000309
21983,SENSOR_DATA,10,1,10->0->1,2,2612.081586,2612.081765,0.000179
21989,SENSOR_DATA,33,1,33->32->22->11->1,4,2612.598748,2612.599067,0.000319
21992,SENSOR_DATA,23,1,23->22->11->1,3,2612.787308,2612.787542,0.000234
22013,SENSOR_DATA,0,1,0->1,1,2614.741474,2614.741564,0.000090
22030,SENSOR_DATA,32,1,32->22->11->1,3,2616.965071,2616.965310,0.000239
22032,SENSOR_DATA,11,1,11->1,1,2616.999538,2616.999617,0.000079
22041,SENSOR_DATA,2,1,2->1,1,2617.907825,2617.907891,0.000066
22040,SENSOR_DATA,12,1,12->11->1,2,2617.907773,2617.907899,0.000125
22049,SENSOR_DATA,3,1,3->2->1,2,2618.527649,2618.527781,0.000132
22050,SENSOR_DATA,22,1,22->11->1,2,2618.607701,2618.607863,0.000162
22066,SENSOR_DATA,13,1,13->23->22->11->1,4,2620.598362,2620.598671,0.000309
22081,SENSOR_DATA,10,1,10->0->1,2,2622.081586,2622.081765,0.000179
22087,SENSOR_DATA,33,1,33->32->22->11->1,4,2622.598748,2622.599067,0.000319
22090,SENSOR_DATA,23,1,23->22->11->1,3,2622.787308,2622.787542,0.000234
22111,SENSOR_DATA,0,1,0->1,1,2624.741474,2624.741564,0.000090
22128,SENSOR_DATA,32,1,32->22->11->1,3,2626.965071,2626.965310,0.000239
22130,SENSOR_DATA,11,1,11->1,1,2626.999538,2626.999617,0.000079
22139,SENSOR_DATA,2,1,2->1,1,2627.907825,2627.907891,0.000066
22138,SENSOR_DATA,12,1,12->11->1,2,2627.907773,2627.907899,0.000125
22147,SENSOR_DATA,3,1,3->2->1,2,2628.527649,2628.527781,0.000132
22148,SENSOR_DATA,22,1,22->11->1,2,2628.607701,2628.607863,0.000162
22164,SENSOR_DATA,13,1,13->23->22->11->1,4,2630.598362,2630.598671,0.000309
22179,SENSOR_DATA,10,1,10->0->1,2,2632.081586,2632.081765,0.000179
22185,SENSOR_DATA,33,1,33->32->22->11->1,4,2632.598748,2632.599067,0.000319
22188,SENSOR_DATA,23,1,23->22->11->1,3,2632.787308,2632.787542,0.000234
22209,SENSOR_DATA,0,1,0->1,1,2634.741474,2634.741564,0.000090
22226,SENSOR_DATA,32,1,32->22->11->1,3,2636.965071,2636.965310,0.000239
22228,SENSOR_DATA,11,1,11->1,1,2636.999538,2636.999617,0.000079
22237,SENSOR_DATA,2,1,2->1,1,2637.907825,2637.907891,0.000066
22236,SENSOR_DATA,12,1,12->11->1,2,2637.907773,2637.907899,0.000125
22245,SENSOR_DATA,3,1,3->2->1,2,2638.527649,2638.527781,0.000132
22246,SENSOR_DATA,22,1,22->11->1,2,2638.607701,2638.607863,0.000162
22262,SENSOR_DATA,13,1,13->23->22->11->1,4,2640.598362,2640.598671,0.000309
22277,SENSOR_DATA,10,1,10->0->1,2,2642.081586,2642.081765,0.000179
22283,SENSOR_DATA,33,1,33->32->22->11->1,4,2642.598748,2642.599067,0.000319
22286,SENSOR_DATA,23,1,23->22->11->1,3,2642.787308,2642.787542,0.000234
22307,SENSOR_DATA,0,1,0->1,1,2644.741474,2644.741564,0.000090
22324,SENSOR_DATA,32,1,32->22->11->1,3,2646.965071,2646.965310,0.000239
22326,SENSOR_DATA,11,1,11->1,1,2646.999538,2646.999617,0.000079
22335,SENSOR_DATA,2,1,2->1,1,2647.907825,2647.907891,0.000066
22334,SENSOR_DATA,12,1,12->11->1,2,2647.907773,2647.907899,0.000125
22343,SENSOR_DATA,3,1,3->2->1,2,2648.527649,2648.527781,0.000132
22344,SENSOR_DATA,22,1,22->11->1,2,2648.607701,2648.607863,0.000162
22360,SENSOR_DATA,13,1,13->23->22->11->1,4,2650.598362,2650.598671,0.000309
22375,SENSOR_DATA,10,1,10->0->1,2,2652.081586,2652.081765,0.000179
22381,SENSOR_DATA,33,1,33->32->22->11->1,4,2652.598748,2652.599067,0.000319
22384,SENSOR_DATA,23,1,23->22->11->1,3,2652.787308,2652.787542,0.000234
22405,SENSOR_DATA,0,1,0->1,1,2654.741474,2654.741564,0.000090
22422,SENSOR_DATA,32,1,32->22->11->1,3,2656.965071,2656.965310,0.000239
22424,SENSOR_DATA,11,1,11->1,1,2656.999538,2656.999617,0.000079
22433,SENSOR_DATA,2,1,2->1,1,2657.907825,2657.907891,0.000066
22432,SENSOR_DATA,12,1,12->11->1,2,2657.907773,2657.907899,0.000125
22441,SENSOR_DATA,3,1,3->2->1,2,2658.527649,2658.527781,0.000132
22442,SENSOR_DATA,22,1,22->11->1,2,2658.607701,2658.607863,0.000162
22458,SENSOR_DATA,13,1,13->23->22->11->1,4,2660.598362,2660.598671,0.000309
22473,SENSOR_DATA,10,1,10->0->1,2,2662.081586,2662.081765,0.000179
22479,SENSOR_DATA,33,1,33->32->22->11->1,4,2662.598748,2662.599067,0.000319
22482,SENSOR_DATA,23,1,23->22->11->1,3,2662.787308,2662.787542,0.000234
22503,SENSOR_DATA,0,1,0->1,1,2664.741474,2664.741564,0.000090
22520,SENSOR_DATA,32,1,32->22->11->1,3,2666.965071,2666.965310,0.000239
22522,SENSOR_DATA,11,1,11->1,1,2666.999538,2666.999617,0.000079
22531,SENSOR_DATA,2,1,2->1,1,2667.907825,2667.907891,0.000066
22530,SENSOR_DATA,12,1,12->11->1,2,2667.907773,2667.907899,0.000125
22539,SENSOR_DATA,3,1,3->2->1,2,2668.527649,2668.527781,0.000132
22540,SENSOR_DATA,22,1,22->11->1,2,2668.607701,2668.607863,0.000162
22556,SENSOR_DATA,13,1,13->23->22->11->1,4,2670.598362,2670.598671,0.000309
22571,SENSOR_DATA,10,1,10->0->1,2,2672.081586,2672.081765,0.000179
22577,SENSOR_DATA,33,1,33->32->22->11->1,4,2672.598748,2672.599067,0.000319
22580,SENSOR_DATA,23,1,23->22->11->1,3,2672.787308,2672.787542,0.000234
22601,SENSOR_DATA,0,1,0->1,1,2674.741474,2674.741564,0.000090
22618,SENSOR_DATA,32,1,32->22->11->1,3,2676.965071,2676.965310,0.000239
22620,SENSOR_DATA,11,1,11->1,1,2676.999538,2676.999617,0.000079
22629,SENSOR_DATA,2,1,2->1,1,2677.907825,2677.907891,0.000066
22628,SENSOR_DATA,12,1,12->11->1,2,2677.907773,2677.907899,0.000125
22637,SENSOR_DATA,3,1,3->2->1,2,2678.527649,2678.527781,0.000132
22638,SENSOR_DATA,22,1,22->11->1,2,2678.607701,2678.607863,0.000162
