time,packet_type,source,current_node,next_hop,dest,hop_count,path_type
2204.912951596942,SENSOR_DATA,"[3,3]",2,"[0,254]","[0,254]",,DIRECT
2205.1324153145038,SENSOR_DATA,"[52,1]",60,"[32,1]","[0,254]",,TREE_PARENT
2205.132498103771,SENSOR_DATA,"[52,1]",51,"[32,254]","[0,254]",,TREE_PARENT
2205.2910321179565,SENSOR_DATA,"[85,2]",94,"[64,2]","[0,254]",,TREE_PARENT
2205.2911144256327,SENSOR_DATA,"[85,2]",84,"[64,254]","[0,254]",,TREE_PARENT
2205.2950838124116,SENSOR_DATA,"[23,1]",33,"[23,254]","[0,254]",,TREE_PARENT
2205.343512424529,SENSOR_DATA,"[6,1]",16,"[6,254]","[0,254]",,TREE_PARENT
2205.4816288802863,SENSOR_DATA,"[11,1]",21,"[0,3]","[0,254]",,MESH_2H
2205.481706159308,SENSOR_DATA,"[11,1]",11,"[0,254]","[0,254]",,DIRECT
2205.497086997916,SENSOR_DATA,"[24,1]",24,"[24,254]","[0,254]",,TREE_PARENT
2205.5178883125145,SENSOR_DATA,"[56,1]",76,"[56,254]","[0,254]",,TREE_PARENT
2205.5665300979917,SENSOR_DATA,"[64,1]",73,"[34,1]","[0,254]",,TREE_PARENT
2205.5666332513465,SENSOR_DATA,"[64,1]",63,"[34,254]","[0,254]",,TREE_PARENT
2205.580226763865,SENSOR_DATA,"[0,4]",10,"[0,254]","[0,254]",,DIRECT
2205.7162747413577,SENSOR_DATA,"[65,1]",74,"[53,1]","[0,254]",,TREE_PARENT
2205.716363056846,SENSOR_DATA,"[65,1]",64,"[53,254]","[0,254]",,TREE_PARENT
2205.8634815337523,SENSOR_DATA,"[55,1]",65,"[34,2]","[0,254]",,TREE_PARENT
2205.863565002855,SENSOR_DATA,"[55,1]",54,"[34,254]","[0,254]",,TREE_PARENT
2205.8825437522837,SENSOR_DATA,"[68,4]",59,"[68,254]","[0,254]",,TREE_PARENT
2205.9231257948077,SENSOR_DATA,"[32,1]",41,"[23,1]","[0,254]",,TREE_PARENT
2205.9231904296926,SENSOR_DATA,"[32,1]",31,"[11,1]","[0,254]",,MESH_3H
2205.9232614679745,SENSOR_DATA,"[32,1]",21,"[0,3]","[0,254]",,MESH_2H
2205.9233387469963,SENSOR_DATA,"[32,1]",11,"[0,254]","[0,254]",,DIRECT
2205.943211659486,SENSOR_DATA,"[64,1]",83,"[64,254]","[0,254]",,TREE_PARENT
2206.1613401150416,SENSOR_DATA,"[28,4]",39,"[28,254]","[0,254]",,TREE_PARENT
2206.1864476290225,SENSOR_DATA,"[6,3]",7,"[6,254]","[0,254]",,TREE_PARENT
2206.2105248394996,SENSOR_DATA,"[79,1]",98,"[79,254]","[0,254]",,TREE_PARENT
2206.253403669143,SENSOR_DATA,"[32,2]",42,"[23,1]","[0,254]",,TREE_PARENT
2206.2534973845068,SENSOR_DATA,"[32,2]",31,"[11,1]","[0,254]",,MESH_3H
2206.2535684227887,SENSOR_DATA,"[32,2]",21,"[0,3]","[0,254]",,MESH_2H
2206.2536457018105,SENSOR_DATA,"[32,2]",11,"[0,254]","[0,254]",,DIRECT
2206.3175990074574,SENSOR_DATA,"[35,1]",44,"[35,1]","[0,254]",,TREE_PARENT
2206.3784816405678,SENSOR_DATA,"[47,1]",48,"[47,254]","[0,254]",,TREE_PARENT
2206.393307901332,SENSOR_DATA,"[26,1]",36,"[24,3]","[0,254]",,TREE_PARENT
2206.3934109390525,SENSOR_DATA,"[26,1]",25,"[24,254]","[0,254]",,TREE_PARENT
2206.4312982582246,SENSOR_DATA,"[34,2]",54,"[34,254]","[0,254]",,TREE_PARENT
2206.467983763678,SENSOR_DATA,"[11,2]",30,"[11,1]","[0,254]",,MESH_3H
2206.468032548846,SENSOR_DATA,"[11,2]",21,"[0,3]","[0,254]",,MESH_2H
2206.468109827868,SENSOR_DATA,"[11,2]",11,"[0,254]","[0,254]",,DIRECT
2206.5050504567735,SENSOR_DATA,"[68,1]",78,"[68,254]","[0,254]",,TREE_PARENT
2206.9526936116727,SENSOR_DATA,"[53,1]",64,"[53,254]","[0,254]",,TREE_PARENT
2207.2065776949435,SENSOR_DATA,"[71,1]",80,"[52,3]","[0,254]",,TREE_PARENT
2207.206644224196,SENSOR_DATA,"[71,1]",70,"[52,254]","[0,254]",,TREE_PARENT
2207.266474648166,SENSOR_DATA,"[26,4]",47,"[26,254]","[0,254]",,TREE_PARENT
2207.29312593939,SENSOR_DATA,"[35,2]",45,"[35,1]","[0,254]",,TREE_PARENT
2207.2931975866604,SENSOR_DATA,"[35,2]",56,"[35,254]","[0,254]",,TREE_PARENT
2207.43934797986,SENSOR_DATA,"[35,1]",35,"[24,2]","[0,254]",,TREE_PARENT
2207.4394103854297,SENSOR_DATA,"[35,1]",34,"[3,3]","[0,254]",,TREE_PARENT
2207.439512721609,SENSOR_DATA,"[35,1]",23,"[3,1]","[0,254]",,MESH_3H
2207.4395842377153,SENSOR_DATA,"[35,1]",12,"[0,2]","[0,254]",,MESH_2H
2207.4396816680564,SENSOR_DATA,"[35,1]",2,"[0,254]","[0,254]",,DIRECT
2207.4670364031067,SENSOR_DATA,"[28,1]",28,"[16,1]","[0,254]",,TREE_PARENT
2207.467143928657,SENSOR_DATA,"[28,1]",27,"[16,254]","[0,254]",,TREE_PARENT
2207.5154389054096,SENSOR_DATA,"[35,1]",56,"[35,254]","[0,254]",,TREE_PARENT
2207.554896263236,SENSOR_DATA,"[86,2]",97,"[86,254]","[0,254]",,TREE_PARENT
2207.723072995133,SENSOR_DATA,"[23,2]",52,"[23,254]","[0,254]",,TREE_PARENT
