clusterhead_1,clusterhead_2,distance
43,49,369.423560
43,50,220.460757
43,53,58.582693
43,56,180.618628
43,57,261.502484
43,58,302.079612
43,59,411.027178
43,60,251.166366
43,61,192.928533
43,65,181.654262
43,66,211.800900
43,68,367.644351
43,69,390.564529
43,71,234.326852
43,72,218.089573
43,73,204.474099
43,74,201.479537
43,75,220.276431
43,77,330.062987
43,81,266.057075
43,82,280.539469
43,83,234.472351
43,86,348.549703
43,87,348.229302
43,88,435.149679
43,89,453.673802
43,90,387.921482
43,91,321.196052
43,93,343.412314
43,94,336.472090
43,95,327.929446
43,96,384.757100
43,97,425.004326
43,98,483.916823
43,99,512.911616
44,45,98.260199
44,48,255.808076
44,49,329.651119
44,50,258.026490
44,53,68.480963
44,56,141.943274
44,57,221.367761
44,58,261.917562
44,59,370.783482
44,60,285.572809
44,61,222.338364
44,65,150.223536
44,66,177.719612
44,68,328.592023
44,69,350.958453
44,71,258.148058
44,72,234.854478
44,73,203.823749
44,74,186.284847
44,75,196.863148
44,77,293.697520
44,81,283.795700
44,82,285.304088
44,83,230.821525
44,86,321.552836
44,87,317.332427
44,88,402.391577
44,89,417.931458
44,90,407.120395
44,91,334.482376
44,93,337.776716
44,94,326.288173
44,95,310.590836
44,96,360.558788
44,97,397.840709
44,98,453.343524
44,99,478.891148
45,48,157.703682
45,49,231.390949
45,50,355.228681
45,53,152.236994
45,56,71.647270
45,57,128.660403
45,58,168.235270
45,59,275.207976
45,60,379.578655
45,61,311.417123
45,65,119.896326
45,66,128.663560
45,68,242.600672
45,69,261.200131
45,71,338.932589
45,72,306.054668
45,73,247.143053
45,74,199.743800
45,75,185.231367
45,77,222.666050
45,81,354.384884
45,82,332.524895
45,83,265.079922
45,86,285.484434
45,87,267.785052
45,88,342.598507
45,89,346.097234
45,90,476.871573
45,91,395.554723
45,93,359.693480
45,94,337.940459
45,95,304.548031
45,96,331.430880
45,97,357.668863
45,98,400.054761
45,99,412.708498
48,49,74.919357
48,50,510.820468
48,53,303.196316
48,56,141.159844
48,57,60.614601
48,58,51.880832
48,59,124.713370
48,60,531.355585
48,61,459.257387
48,65,197.185290
48,66,173.141034
48,68,132.191666
48,69,133.464902
48,71,478.150041
48,72,437.612126
48,73,358.068762
48,74,290.449145
48,75,251.748652
48,77,165.019696
48,81,482.774702
48,82,437.670291
48,83,364.197433
48,86,283.687311
48,87,244.937582
48,88,282.428496
48,89,257.694123
48,90,599.536533
48,91,511.621558
48,93,431.933960
48,94,399.432273
48,95,346.804701
48,96,332.431228
48,97,334.573481
48,98,345.714006
48,99,329.829239
49,50,585.509177
