node_id,old_role,new_role,time,reason
85,UNDISCOVERED,UNREGISTERED,72.730218,
79,UNDISCOVERED,UNREGISTERED,73.285760,
11,UNDISCOVERED,UNREGISTERED,74.204553,
94,UNDISCOVERED,UNREGISTERED,75.290868,
24,UNDISCOVERED,UNREGISTERED,75.496950,
10,UNDISCOVERED,UNREGISTERED,75.580089,
39,UNDISCOVERED,UNREGISTERED,76.161148,
42,UNDISCOVERED,UNREGISTERED,76.253216,
54,UNDISCOVERED,UNREGISTERED,76.431102,
64,UNDISCOVERED,UNREGISTERED,76.952518,
52,UNDISCOVERED,UNREGISTERED,77.722874,
55,UNDISCOVERED,UNREGISTERED,77.940162,
12,UNREGISTERED,REGISTERED,80.316218,
70,UNDISCOVERED,UNREGISTERED,80.479953,
6,UNDISCOVERED,UNREGISTERED,81.045109,
37,UNDISCOVERED,UNREGISTERED,81.810790,
12,REGISTERED,CLUSTER_HEAD,82.316413,received CH transfer
2,CLUSTER_HEAD,ROUTER,82.316511,CH transfer ACK received
5,UNDISCOVERED,UNREGISTERED,82.730172,
3,UNREGISTERED,REGISTERED,83.494044,
4,UNDISCOVERED,UNREGISTERED,84.696762,
73,UNDISCOVERED,UNREGISTERED,85.566324,
30,UNDISCOVERED,UNREGISTERED,86.467863,
78,UNDISCOVERED,UNREGISTERED,86.504903,
22,UNREGISTERED,REGISTERED,88.591410,
13,UNDISCOVERED,UNREGISTERED,91.223709,
3,REGISTERED,CLUSTER_HEAD,91.223764,proactive CH creation from PROBE
43,UNDISCOVERED,UNREGISTERED,91.310149,
77,UNDISCOVERED,UNREGISTERED,91.918577,
95,UNDISCOVERED,UNREGISTERED,93.498688,
22,REGISTERED,CLUSTER_HEAD,93.912694,proactive CH creation from PROBE
11,UNREGISTERED,REGISTERED,94.204738,
96,UNDISCOVERED,UNREGISTERED,94.259476,
34,UNDISCOVERED,UNREGISTERED,94.553872,
23,UNREGISTERED,REGISTERED,94.912783,
33,UNDISCOVERED,UNREGISTERED,95.294913,
21,UNDISCOVERED,UNREGISTERED,95.481509,
10,UNREGISTERED,REGISTERED,95.580227,
65,UNDISCOVERED,UNREGISTERED,95.863315,
83,UNDISCOVERED,UNREGISTERED,95.943146,
38,UNDISCOVERED,UNREGISTERED,97.756033,
71,UNDISCOVERED,UNREGISTERED,98.104868,
11,REGISTERED,CLUSTER_HEAD,99.287078,proactive CH creation from PROBE
23,REGISTERED,CLUSTER_HEAD,100.591400,proactive CH creation from PROBE
62,UNDISCOVERED,UNREGISTERED,100.740747,
66,UNDISCOVERED,UNREGISTERED,101.149403,
10,REGISTERED,CLUSTER_HEAD,101.287042,proactive CH creation from PROBE
40,UNDISCOVERED,UNREGISTERED,101.867223,
57,UNDISCOVERED,UNREGISTERED,103.361337,
68,UNDISCOVERED,UNREGISTERED,104.181862,
84,UNDISCOVERED,UNREGISTERED,104.846106,
98,UNDISCOVERED,UNREGISTERED,106.210398,
36,UNDISCOVERED,UNREGISTERED,106.393102,
26,UNDISCOVERED,UNREGISTERED,108.004035,
20,UNREGISTERED,REGISTERED,109.287111,
53,UNDISCOVERED,UNREGISTERED,109.482772,
86,UNDISCOVERED,UNREGISTERED,109.786166,
31,UNREGISTERED,REGISTERED,109.889377,
69,UNDISCOVERED,UNREGISTERED,110.150937,
32,UNREGISTERED,REGISTERED,111.223711,
13,UNREGISTERED,REGISTERED,111.223882,
20,REGISTERED,CLUSTER_HEAD,111.287249,received CH transfer
10,CLUSTER_HEAD,ROUTER,111.287318,CH transfer ACK received
32,REGISTERED,CLUSTER_HEAD,111.889578,received CH transfer
22,CLUSTER_HEAD,ROUTER,111.889683,CH transfer ACK received
14,UNREGISTERED,REGISTERED,112.690114,
34,UNREGISTERED,REGISTERED,114.554077,
